s_id,language_code,language_label,dialect,source_variety,english,form,alternate_forms,printed_page,pdf_page,table,review_note
S_klaproth_formosan_sideia_father,fos,Siraya,Siraya,Klaproth Formosan Sideia,Father,rama,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_father,fos,Siraya,Siraya,Vander Vlis Sideia,Father,sama,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_klaproth_formosan_sideia_mother,fos,Siraya,Siraya,Klaproth Formosan Sideia,Mother,rena,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_mother,fos,Siraya,Siraya,Vander Vlis Sideia,Mother,sena,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_klaproth_formosan_sideia_water,fos,Siraya,Siraya,Klaproth Formosan Sideia,Water,ralaum,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_water,fos,Siraya,Siraya,Vander Vlis Sideia,Water,salong,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_klaproth_formosan_sideia_thunder,fos,Siraya,Siraya,Klaproth Formosan Sideia,Thunder,rungdung,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_thunder,fos,Siraya,Siraya,Vander Vlis Sideia,Thunder,singding,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_klaproth_formosan_sideia_tree,fos,Siraya,Siraya,Klaproth Formosan Sideia,Tree,parannah,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_tree,fos,Siraya,Siraya,Vander Vlis Sideia,Tree,pesanach,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_klaproth_formosan_sideia_foot,fos,Siraya,Siraya,Klaproth Formosan Sideia,Foot,rahpal,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_foot,fos,Siraya,Siraya,Vander Vlis Sideia,Foot,sapal,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_klaproth_formosan_sideia_great,fos,Siraya,Siraya,Klaproth Formosan Sideia,Great,irang,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_great,fos,Siraya,Siraya,Vander Vlis Sideia,Great,isang,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_klaproth_formosan_sideia_two,fos,Siraya,Siraya,Klaproth Formosan Sideia,Two,ranka,,315,2,Klaproth/Vander Vlis Sideia,Manual visual transcription from the source page render.
S_vander_vlis_sideia_two,fos,Siraya,Siraya,Vander Vlis Sideia,Two,so,soa,315,2,Klaproth/Vander Vlis Sideia,"Final OCR review resolves the forms as ""so"" and ""soa""; the terminal period is table punctuation."
S_favorlang_man,bzg,Babuza-Favorlang,Favorlang,Favorlang,Man,bahosa,sjam,316,3,Gabelentz lexical table,Comma-separated source variants are separate FORM tiers.
S_favorlang_head,bzg,Babuza-Favorlang,Favorlang,Favorlang,Head,oeno,,316,3,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_hair,bzg,Babuza-Favorlang,Favorlang,Favorlang,Hair,tâu,ratta,316,3,Gabelentz lexical table,Comma-separated source variants are separate FORM tiers.
S_favorlang_forehead,bzg,Babuza-Favorlang,Favorlang,Favorlang,Forehead,tees,,316,3,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_eye,bzg,Babuza-Favorlang,Favorlang,Favorlang,Eye,macha,,316,3,Gabelentz lexical table,Manual visual transcription from the source page render.
