check_id	printed_page	pdf_page	source_locator	xml_id	expected_original_form	expected_alternate_forms	expected_lexeme_forms	expected_translation_eng	independent_method
SC01	315	2	Sideia table / Vander Vlis / Tree	S_vander_vlis_sideia_tree	pesanach			tree	manual visual transcription from source page render
SC02	315	2	Sideia table / Vander Vlis / Two	S_vander_vlis_sideia_two	so	soa		two	final OCR review correction
SC03	316	3	Gabelentz table / Favorlang / Man	S_favorlang_man	bahosa		sjam	man	manual visual transcription from source page render
SC04	316	3	Gabelentz table / Favorlang / Hair	S_favorlang_hair	tâu		ratta	hair	manual visual transcription from source page render
SC05	316	3	Gabelentz table / Favorlang / Ear	S_favorlang_ear	chárrina			ear	manual visual transcription from source page render
SC06	316	3	Gabelentz table / Sida / Mouth	S_sida_mouth	motaus			mouth	manual visual transcription from source page render
SC07	317	4	Gabelentz table / Favorlang / Neck	S_favorlang_neck	bokkir		arribórribon	neck	manual visual transcription from source page render
SC08	317	4	Gabelentz table / Favorlang / Belly	S_favorlang_belly	cháan			belly	manual visual transcription from source page render
SC09	317	4	Gabelentz table / Sida / Breast	S_sida_breast	avâu			breast	manual visual transcription from source page render
SC10	318	5	Gabelentz table / Favorlang / Foot	S_favorlang_foot	asiél			foot	manual visual transcription from source page render
SC11	318	5	Gabelentz table / Favorlang / Flesh	S_favorlang_flesh	bóá			flesh	manual visual transcription from source page render
SC12	318	5	Gabelentz table / Sida / Blood	S_sida_blood	àmagh			blood	manual visual transcription from source page render
